seq,stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
275,20200928,0:00,23661,21292,18587,406,1963,2259055,2301303,2282716,1.036528416,25:15.4,null
276,20200929,0:00,23699,21470,20056,407,1822,2269289,2313044,2292988,1.03354226,40:16.8,null
277,20200930,0:00,23812,21590,20596,413,1809,2278591,2322999,2302403,1.034223809,32:00.2,null
278,20201001,0:00,23889,21666,20029,415,1808,2284517,2328435,2308406,1.034869949,38:23.4,null
279,20201002,0:00,23952,21733,19995,416,1803,2289830,2333777,2313782,1.035188276,51:40.6,null
280,20201003,0:00,24027,21787,21287,420,1820,2294545,2339859,2318572,1.036284403,49:45.7,null
281,20201004,0:00,24091,21845,22116,421,1825,2300138,2346345,2324229,1.036515765,35:29.5,null
282,20201005,0:00,24164,21886,22447,422,1856,2305767,2352378,2329931,1.037112258,32:34.4,null
283,20201006,0:00,24239,22083,22737,422,1734,2318457,2365433,2342696,1.034662628,39:50.7,null
284,20201007,0:00,24353,22334,22138,425,1594,2331582,2378073,2355935,1.033687262,42:43.6,null
285,20201008,0:00,24422,22463,20978,427,1532,2343444,2388844,2367866,1.031392824,01:47.6,null
286,20201009,0:00,24476,22569,20699,428,1479,2355058,2400233,2379534,1.02860476,37:05.2,null
287,20201010,0:00,24548,22624,18982,430,1494,2361154,2404684,2385702,1.028963383,39:43.1,null
288,20201011,0:00,24606,22693,19303,432,1481,2366574,2410483,2391180,1.029031691,32:37.4,null
289,20201012,0:00,24703,22729,19192,433,1541,2371715,2415610,2396418,1.030830181,41:37.5,null
290,20201013,0:00,24805,22863,20124,434,1508,2383842,2428771,2408647,1.02983127,40:11.1,null
291,20201014,0:00,24889,23030,18396,438,1421,2398169,2441454,2423058,1.027173101,35:05.1,null
292,20201015,0:00,24988,23082,18262,439,1467,2407489,2450739,2432477,1.027265623,39:50.8,null
293,20201016,0:00,25035,23180,17355,441,1414,2417036,2459426,2442071,1.025154469,34:40.2,null
294,20201017,0:00,25108,23258,17318,443,1407,2426101,2468527,2451209,1.02431086,49:12.3,null
295,20201018,0:00,25199,23312,17781,444,1443,2431549,2474529,2456748,1.025705526,33:55.9,null
296,20201019,0:00,25275,23368,16763,444,1463,2437188,2479226,2462463,1.026411361,42:35.6,null
297,20201020,0:00,25333,23466,19379,447,1420,2446599,2491311,2471932,1.024825926,32:53.4,null
298,20201021,0:00,25424,23584,19493,450,1390,2458574,2503491,2483998,1.023511291,34:27.4,null
299,20201022,0:00,25543,23647,19813,453,1443,2469969,2515325,2495512,1.02355749,41:20.7,null
300,20201023,0:00,25698,23717,20430,455,1526,2482493,2528621,2508191,1.024563121,37:38.2,null
301,20201024,0:00,25775,23834,21888,457,1484,2493016,2540679,2518791,1.023308405,28:45.5,null
302,20201025,0:00,25836,23869,21682,457,1510,2498628,2546146,2524464,1.023425171,35:31.9,null
